x,y,z,vx,vy,vz
409.100098,409.100098,409.100098,1.000042,1.000042,1.000042
410.100098,410.100098,410.100098,1.000042,1.000042,1.000042
411.100098,411.100098,411.100098,1.000042,1.000042,1.000042
412.100098,412.100098,412.100098,1.000042,1.000042,1.000042
413.100098,413.100098,413.100098,1.000042,1.000042,1.000042
414.100098,414.100098,414.100098,1.000042,1.000042,1.000042
415.100098,415.100098,415.100098,1.000041,1.000041,1.000041
416.100098,416.100098,416.100098,1.000041,1.000041,1.000041
417.100098,417.100098,417.100098,1.000041,1.000041,1.000041
418.100098,418.100098,418.100098,1.000041,1.000041,1.000041
419.100098,419.100098,419.100098,1.000041,1.000041,1.000041
420.100098,420.100098,420.100098,1.000041,1.000041,1.000041
421.100098,421.100098,421.100098,1.000041,1.000041,1.000041
422.100098,422.100098,422.100098,1.000041,1.000041,1.000041
423.100098,423.100098,423.100098,1.000041,1.000041,1.000041
424.100098,424.100098,424.100098,1.000041,1.000041,1.000041
425.100098,425.100098,425.100098,1.000041,1.000041,1.000041
426.100098,426.100098,426.100098,1.000039,1.000039,1.000039
427.100098,427.100098,427.100098,1.000039,1.000039,1.000039
428.100098,428.100098,428.100098,1.000039,1.000039,1.000039
429.100098,429.100098,429.100098,1.000039,1.000039,1.000039
430.100098,430.100098,430.100098,1.000039,1.000039,1.000039
431.100098,431.100098,431.100098,1.000039,1.000039,1.000039
432.100098,432.100098,432.100098,1.000039,1.000039,1.000039
433.100098,433.100098,433.100098,1.000039,1.000039,1.000039
434.100098,434.100098,434.100098,1.000039,1.000039,1.000039
435.100098,435.100098,435.100098,1.000039,1.000039,1.000039
436.100098,436.100098,436.100098,1.000039,1.000039,1.000039
437.100098,437.100098,437.100098,1.000038,1.000038,1.000038
438.100098,438.100098,438.100098,1.000038,1.000038,1.000038
439.100098,439.100098,439.100098,1.000038,1.000038,1.000038
440.100098,440.100098,440.100098,1.000038,1.000038,1.000038
441.100098,441.100098,441.100098,1.000038,1.000038,1.000038
442.100098,442.100098,442.100098,1.000038,1.000038,1.000038
443.100098,443.100098,443.100098,1.000038,1.000038,1.000038
444.100098,444.100098,444.100098,1.000038,1.000038,1.000038
445.100098,445.100098,445.100098,1.000038,1.000038,1.000038
